model_idx,model_name,cot,few_shots,accuracy,macro_f1,adjacent_accuracy,average_token_usage,average_elapsed_time
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,4,0.35,0.32009911700893406,0.8533333333333334,1100.7966666666666,9.420349858601888
3,openai/gpt-oss-120b,False,8,0.44,0.4384873589116787,0.9133333333333333,1187.36,2.741944043636322
