model_idx,model_name,cot,few_shots,accuracy,macro_f1,adjacent_accuracy,average_token_usage,average_elapsed_time
0,meta-llama/Meta-Llama-3.1-8B-Instruct,False,0,0.11,0.11761233130106823,0.31,542.87,6.390881703694661
0,meta-llama/Meta-Llama-3.1-8B-Instruct,True,0,0.36333333333333334,0.36133333191736416,0.84,771.99,2.352776375611623
1,google/gemma-3-27b-it,False,0,0.24333333333333335,0.24267060413105035,0.5933333333333334,622.84,4.655986578464508
1,google/gemma-3-27b-it,True,0,0.4033333333333333,0.35123345843130166,0.8566666666666667,791.1,6.425376594861349
2,meta-llama/Meta-Llama-3.1-70B-Instruct,False,0,0.25333333333333335,0.2740952574723583,0.47333333333333333,491.67,8.61424249569575
2,meta-llama/Meta-Llama-3.1-70B-Instruct,False,1,0.4,0.38702273734722237,0.8233333333333334,450.25,2.836792260011037
2,meta-llama/Meta-Llama-3.1-70B-Instruct,False,2,0.42,0.39927599954081255,0.85,471.06,1.3187813258171082
2,meta-llama/Meta-Llama-3.1-70B-Instruct,False,4,0.37,0.3609547631062078,0.86,529.5566666666666,2.1182764450709026
2,meta-llama/Meta-Llama-3.1-70B-Instruct,False,8,0.38666666666666666,0.3716394216014771,0.8466666666666667,650.0866666666667,4.131960780620575
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,0,0.4266666666666667,0.42422880306031585,0.8966666666666666,741.4333333333333,13.922157181104025
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,1,0.39,0.36142768272916664,0.9,706.1866666666666,16.712474421660104
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,2,0.39,0.3759634695560507,0.8966666666666666,740.3766666666667,13.963103369871776
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,4,0.45666666666666667,0.43547039692228945,0.89,804.8766666666667,11.623995307286581
2,meta-llama/Meta-Llama-3.1-70B-Instruct,True,8,0.42333333333333334,0.40455862102316464,0.91,924.7266666666667,12.679368859926859
3,openai/gpt-oss-120b,False,0,0.4066666666666667,0.3766573208419701,0.8866666666666667,602.4133333333333,5.303829317887624
3,openai/gpt-oss-120b,False,1,0.4166666666666667,0.37853241719520797,0.8733333333333333,654.5733333333334,6.926279564698537
3,openai/gpt-oss-120b,False,2,0.37333333333333335,0.33780349371888213,0.9033333333333333,680.8433333333334,7.714589839776357
3,openai/gpt-oss-120b,False,4,0.3933333333333333,0.36223891927714597,0.88,753.0366666666666,2.73244029601415
3,openai/gpt-oss-120b,False,8,0.38333333333333336,0.3527741644649857,0.8666666666666667,881.8066666666666,2.538517214457194
3,openai/gpt-oss-120b,True,0,0.3466666666666667,0.2919109590125723,0.7533333333333333,924.4633333333334,6.772687890529633
3,openai/gpt-oss-120b,True,1,0.4,0.35972491761221853,0.86,987.61,9.93869090239207
3,openai/gpt-oss-120b,True,2,0.38666666666666666,0.35276204972677494,0.89,987.4033333333333,11.258176157474518
3,openai/gpt-oss-120b,True,4,0.39,0.35032346560006083,0.88,1045.16,11.807091391086578
3,openai/gpt-oss-120b,True,8,0.38666666666666666,0.3537618713377238,0.8866666666666667,1162.2,12.781948328812916
